timestep,episode,throughput,avg_acceleration,collision_count,total_controlled,vehicles_exited,deadlocks_detected,deadlock_severity,reward,deadlock_detected,severe_deadlock_detected,episode_simulation_time,total_simulation_time,episode_start_time,simulation_start_time
100090,1275,3600.0,1.2647046216622628,1,4231,4064,0,0.0,12.9,False,False,170.2,10666.59,2025-09-05 04:57:57,2025-09-05 02:03:00
100091,1275,3600.0,1.264720682620135,1,4234,4065,0,0.0,14.15,False,False,171.98,10668.37,2025-09-05 04:57:57,2025-09-05 02:03:00
100092,1275,3600.0,1.2649206232475048,1,4235,4067,0,0.0,23.4,False,False,174.01,10670.41,2025-09-05 04:57:57,2025-09-05 02:03:00
100093,1275,3600.0,1.2647158094519593,1,4236,4068,0,0.0,13.4,False,False,176.01,10672.4,2025-09-05 04:57:57,2025-09-05 02:03:00
100094,1275,3600.0,1.264614577046986,1,4237,4069,0,0.0,13.4,False,False,178.02,10674.41,2025-09-05 04:57:57,2025-09-05 02:03:00
100095,1275,3600.0,1.264630357729408,1,4239,4071,0,0.0,23.9,False,False,179.95,10676.34,2025-09-05 04:57:57,2025-09-05 02:03:00
100096,1275,3600.0,1.2646323911264203,1,4240,4073,0,0.0,23.4,False,False,181.76,10678.16,2025-09-05 04:57:57,2025-09-05 02:03:00
100097,1275,3600.0,1.2647503717425022,1,4241,4074,0,0.0,13.4,False,False,183.45,10679.84,2025-09-05 04:57:57,2025-09-05 02:03:00
100098,1275,3600.0,1.264704753093612,1,4242,4075,0,0.0,12.65,False,False,185.09,10681.48,2025-09-05 04:57:57,2025-09-05 02:03:00
100099,1275,3600.0,1.2646972914178893,1,4243,4076,0,0.0,12.65,False,False,187.0,10683.39,2025-09-05 04:57:57,2025-09-05 02:03:00
100100,1275,3600.0,1.2646972914178891,1,4245,4078,0,0.0,24.9,False,False,188.95,10685.35,2025-09-05 04:57:57,2025-09-05 02:03:00
100101,1275,3600.0,1.2647772390563106,1,4246,4079,0,0.0,12.9,False,False,190.49,10686.89,2025-09-05 04:57:57,2025-09-05 02:03:00
100102,1275,3600.0,1.264642242806568,1,4247,4080,0,0.0,12.9,False,False,192.36,10688.75,2025-09-05 04:57:57,2025-09-05 02:03:00
100103,1275,3600.0,1.2647250128555947,1,4248,4081,0,0.0,12.9,False,False,194.14,10690.53,2025-09-05 04:57:57,2025-09-05 02:03:00
100104,1275,3600.0,1.264720599346428,1,4250,4082,0,0.0,13.9,False,False,195.89,10692.28,2025-09-05 04:57:57,2025-09-05 02:03:00
100105,1275,3600.0,1.2647560784417113,1,4251,4084,0,0.0,22.65,False,False,197.67,10694.06,2025-09-05 04:57:57,2025-09-05 02:03:00
100106,1275,3600.0,1.2648855472150633,1,4252,4085,0,0.0,12.9,False,False,199.66,10696.05,2025-09-05 04:57:57,2025-09-05 02:03:00
100107,1275,3600.0,1.264870089251026,1,4253,4086,0,0.0,12.65,False,False,201.47,10697.87,2025-09-05 04:57:57,2025-09-05 02:03:00
100108,1275,3600.0,1.2648730513652626,1,4255,4086,0,0.0,4.15,False,False,203.41,10699.8,2025-09-05 04:57:57,2025-09-05 02:03:00
100109,1275,3600.0,1.2646716749353242,1,4255,4087,0,0.0,13.9,False,False,205.4,10701.79,2025-09-05 04:57:57,2025-09-05 02:03:00
100110,1275,3600.0,1.2647245654986017,1,4255,4087,0,0.0,3.9,False,False,207.24,10703.63,2025-09-05 04:57:57,2025-09-05 02:03:00
100111,1275,3600.0,1.264567390189716,1,4255,4087,0,0.0,3.9,False,False,208.99,10705.39,2025-09-05 04:57:57,2025-09-05 02:03:00
100112,1275,3600.0,1.264413382932542,1,4256,4087,0,0.0,4.9,False,False,210.77,10707.17,2025-09-05 04:57:57,2025-09-05 02:03:00
100113,1275,3600.0,1.264350762210362,1,4256,4088,0,0.0,14.9,False,False,212.57,10708.97,2025-09-05 04:57:57,2025-09-05 02:03:00
100114,1275,3600.0,1.2642856329647427,1,4256,4088,0,0.0,3.4,False,False,214.22,10710.62,2025-09-05 04:57:57,2025-09-05 02:03:00
100115,1275,3600.0,1.2641679288825418,1,4256,4088,0,0.0,3.4,False,False,216.18,10712.57,2025-09-05 04:57:57,2025-09-05 02:03:00
100116,1275,3600.0,1.2641491713535113,1,4258,4089,0,0.0,14.9,False,False,218.05,10714.44,2025-09-05 04:57:57,2025-09-05 02:03:00
100117,1275,3600.0,1.2642230650737794,1,4259,4090,0,0.0,14.9,False,False,219.85,10716.25,2025-09-05 04:57:57,2025-09-05 02:03:00
100118,1275,3600.0,1.2643234375649657,1,4260,4093,0,0.0,34.9,False,False,221.67,10718.06,2025-09-05 04:57:57,2025-09-05 02:03:00
100119,1275,3600.0,1.2644297135462623,3,4263,4096,0,0.0,-165.1,False,False,223.15,10719.54,2025-09-05 04:57:57,2025-09-05 02:03:00
100120,1275,3600.0,1.2644806287879458,3,4266,4099,0,0.0,34.9,False,False,224.66,10721.06,2025-09-05 04:57:57,2025-09-05 02:03:00
